component,i,j,value
0,0,0,0.3833448279962805
0,0,1,0.23284618888340128
0,0,2,0.1234402575325964
0,0,3,0.08718684671486365
0,0,4,9.367723249499515e-33
0,0,5,-2.2186712959340958e-32
0,0,6,1.1093356479670479e-32
0,0,7,0.0
0,1,0,0.23284618888340128
0,1,1,0.5113598190408004
0,1,2,0.10597871421158615
0,1,3,0.12235666215680699
0,1,4,-1.523487623208079e-31
0,1,5,2.4405384255275054e-31
0,1,6,-1.2202692127637527e-31
0,1,7,0.0
0,2,0,0.1234402575325964
0,2,1,0.10597871421158615
0,2,2,0.06990887064416466
0,2,3,0.0535984306618142
0,2,4,-3.858022864596511e-32
0,2,5,6.298561290124017e-32
0,2,6,-3.149280645062008e-32
0,2,7,0.0
0,3,0,0.08718684671486365
0,3,1,0.12235666215680699
0,3,2,0.0535984306618142
0,3,3,0.06640511721082529
0,3,4,-1.3805065841367708e-32
0,3,5,1.0846837446788912e-32
0,3,6,-5.423418723394456e-33
0,3,7,0.0
0,4,0,9.367723249499515e-33
0,4,1,-1.523487623208079e-31
0,4,2,-3.858022864596511e-32
0,4,3,-1.3805065841367708e-32
0,4,4,1e-06
0,4,5,-7.395570986446986e-31
0,4,6,3.697785493223493e-31
0,4,7,0.0
0,5,0,-2.2186712959340958e-32
0,5,1,2.4405384255275054e-31
0,5,2,6.298561290124017e-32
0,5,3,1.0846837446788912e-32
0,5,4,-7.395570986446986e-31
0,5,5,1e-06
0,5,6,-6.162975822039155e-31
0,5,7,0.0
0,6,0,1.1093356479670479e-32
0,6,1,-1.2202692127637527e-31
0,6,2,-3.149280645062008e-32
0,6,3,-5.423418723394456e-33
0,6,4,3.697785493223493e-31
0,6,5,-6.162975822039155e-31
0,6,6,1e-06
0,6,7,0.0
0,7,0,0.0
0,7,1,0.0
0,7,2,0.0
0,7,3,0.0
0,7,4,0.0
0,7,5,0.0
0,7,6,0.0
0,7,7,1e-06
1,0,0,0.5817703022952316
1,0,1,0.2562981624834449
1,0,2,0.20469430431191948
1,0,3,0.07673667439531542
1,0,4,6.902532920683854e-33
1,0,5,6.902532920683854e-33
1,0,6,-1.3805065841367708e-32
1,0,7,0.0
1,1,0,0.2562981624834449
1,1,1,0.5401018940094767
1,1,2,0.09152374094480085
1,1,3,0.14143436262583256
1,1,4,1.442136342357162e-32
1,1,5,1.442136342357162e-32
1,1,6,-2.884272684714324e-32
1,1,7,0.0
1,2,0,0.20469430431191948
1,2,1,0.09152374094480085
1,2,2,0.09642992678281219
1,2,3,0.03579812549283202
1,2,4,-3.1998170468027292e-31
1,2,5,-3.1998170468027292e-31
1,2,6,6.3996340936054585e-31
1,2,7,0.0
1,3,0,0.07673667439531542
1,3,1,0.14143436262583256
