index,p_component_0,p_component_1,p_component_2
0,1.9758915111372626e-200,1.0,0.0
1,0.0,1.0,0.0
2,2.52089244995964e-187,1.0,0.0
3,1.0,3.474563617813725e-21,0.0
4,3.483356040762726e-283,1.0,0.0
5,0.0007439995132031414,0.999256000486797,0.0
6,7.763929211743595e-111,1.0,0.0
7,1.1044463401481388e-40,1.0,0.0
8,3.327052924988408e-13,0.9999999999996678,0.0
9,1.0,5.301658636649661e-27,0.0
10,1.8562598957583587e-55,1.0,0.0
11,7.184928301470833e-29,1.0,0.0
12,3.415141222268572e-189,1.0,0.0
13,4.347243106082209e-24,1.0,0.0
14,5.455209542418283e-06,0.9999945447904582,0.0
15,0.9999430526912609,5.694730873855638e-05,0.0
16,5.53266958308113e-28,1.0,0.0
17,6.086985876073918e-36,1.0,0.0
18,0.0,1.0,0.0
19,1.0570903441562144e-14,0.0,0.9999999999999929
20,5.7414744302744866e-18,0.0,1.0
21,1.188131542377094e-15,0.0,1.0
22,4.9527927163248606e-11,0.9999999999504716,0.0
23,0.0,1.0,0.0
24,1.2234502e-316,1.0,0.0
25,4.815880655716127e-40,1.0,0.0
26,6.450620977915344e-48,1.0,0.0
27,9.514876068287091e-116,1.0,0.0
28,0.9978792017075123,0.002120798292487526,0.0
29,2.904810769017374e-121,1.0,0.0
30,5.047821286333053e-62,1.0,0.0
31,0.9999999956686654,4.3313346891506975e-09,0.0
32,6.24192051738899e-33,1.0,0.0
33,3.0845685393878733e-150,1.0,0.0
34,2.5249151977716116e-31,1.0,0.0
35,1.0421674139190758e-94,1.0,0.0
36,2.7317192267846164e-30,1.0,0.0
37,4.85209106706052e-37,0.0,1.0
38,8.658691858350635e-162,1.0,0.0
39,2.1794164537437096e-40,1.0,0.0
40,6.231912494457517e-36,1.0,0.0
41,8.589704213340762e-37,1.0,0.0
42,3.1764315515244322e-49,1.0,0.0
43,2.244742008576397e-22,1.0,0.0
44,1.5507556521485677e-20,1.0,0.0
45,4.9953866709408227e-113,1.0,0.0
46,2.6789845256027603e-24,0.0,1.0
47,7.459536614216128e-16,1.0,0.0
48,1.6887079566056862e-19,0.0,1.0
49,5.494523995277626e-19,0.0,1.0
50,8.550003597732382e-19,0.0,1.0
51,6.997454091206853e-37,0.0,1.0
52,3.8257921821674317e-22,0.0,1.0
53,5.650110896017546e-95,1.0,0.0
54,1.7982159642407988e-50,1.0,0.0
55,9.701191603251708e-29,0.0,1.0
56,7.863877932730245e-251,1.0,0.0
57,5.1252395561611967e-20,1.0,0.0
58,2.641825565215279e-32,0.0,1.0
59,1.6012449199811731e-60,0.0,1.0
60,1.3956701267115252e-64,0.0,1.0
61,1.355080018219265e-37,0.0,1.0
62,0.9994980128562945,0.0005019871437057046,0.0
63,8.007823543236694e-08,0.0,0.999999919921765
64,1.9066396274812423e-13,0.9999999999998099,0.0
65,1.5039001803442794e-10,0.9999999998496101,0.0
66,5.857694111298831e-16,0.0,1.0
67,5.166801471468926e-18,0.0,1.0
68,1.0,0.0,8.137211791657911e-246
69,2.8111299677443037e-17,0.0,1.0
70,1.8456259193219315e-129,1.0,0.0
71,1.0,0.0,3.1639495883129494e-171
72,3.615668132137388e-130,1.0,0.0
73,6.667503718942568e-27,1.0,0.0
74,5.316789817606621e-16,0.0,1.0
75,3.619660540019751e-28,1.0,0.0
76,1.0287777531453854e-32,0.0,1.0
77,3.109114783950499e-114,1.0,0.0
78,1.0,1.7156305201935554e-37,0.0
79,1.695620377933549e-19,0.0,1.0
80,3.983865834869775e-21,0.0,1.0
81,1.0,0.0,9.212724166564852e-52
82,0.0,1.0,0.0
83,8.930286805737872e-235,1.0,0.0
84,1.6849197408903742e-16,0.0,1.0
85,2.058647834799719e-122,1.0,0.0
86,1.3792449933165847e-31,1.0,0.0
87,4.207180859120685e-98,1.0,0.0
88,6.955167979029461e-16,0.0,1.0
89,8.112408161183074e-16,0.0,1.0
90,2.5350267959229637e-21,0.0,1.0
91,8.139598366379336e-21,1.0,0.0
92,8.972532762938649e-15,0.0,0.9999999999999893
93,4.556045244441514e-16,0.0,1.0
94,1.0617622988342665e-18,1.0,0.0
95,4.466178807393499e-182,1.0,0.0
96,2.094319226474391e-14,0.0,0.9999999999999787
97,4.2425507993019556e-23,0.0,1.0
