"('PARP1', 'BRCA2')","('AHR', 'CYP1B1')","('AHR', 'FOS')","('AHR', 'SOS1')","('AHR', 'UGT1A6')","('AR', 'ABCA1')","('AR', 'ABCA2')","('AR', 'ABCF1')","('AR', 'ABCA4')","('AR', 'ABL1')","('AR', 'ABL2')","('AR', 'ABR')","('AR', 'ACACB')","('AR', 'ACADM')","('AR', 'ACAT2')","('AR', 'ACO1')","('AR', 'ACP1')","('AR', 'ACTA1')","('AR', 'ACTC1')","('AR', 'ACTN4')","('AR', 'ACTN1')","('AR', 'ACVR1')","('AR', 'ACVR2B')","('AR', 'ACVRL1')","('AR', 'ACYP1')","('AR', 'ACYP2')","('AR', 'ADAM10')","('AR', 'ADAR')","('AR', 'ADARB1')","('AR', 'ADARB2')","('AR', 'ADCY9')","('AR', 'ADCYAP1R1')","('AR', 'ADD1')","('AR', 'ADD3')","('AR', 'PLIN2')","('AR', 'ADH5')","('AR', 'ADK')","('AR', 'ADM')"
0.0,0.0,0.0,-5.2,0.0,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,-5.3,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-3.9,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,-3.8,0.0,0.0,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,0.0,0.0,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,-6.3,0.0,0.0
0.0,0.0,0.0,-9.6,0.0,-15.0,5.1,0.0,0.0,0.0,0.0,0.0,-11.6,0.0,0.0,-15.1,4.6,0.0,0.0,0.0,3.9,0.0,0.0,-7.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,0.0,0.0,-12.7,-16.1,0.0,-5.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-10.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,-11.5,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,-10.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,0.0,0.0,-11.5,-10.5,0.0,-5.9
0.0,0.0,0.0,0.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,0.0,0.0
