factor,rank,feature,weight,abs_weight,direction
Factor1,1,CST3,0.7356177070043766,0.7356177070043766,positive
Factor1,2,FCN1,0.7218837333029346,0.7218837333029346,positive
Factor1,3,CTSS,0.7157640729813544,0.7157640729813544,positive
Factor1,4,MNDA,0.7080967005394242,0.7080967005394242,positive
Factor1,5,FGL2,0.7050671992292659,0.7050671992292659,positive
Factor1,6,SERPINA1,0.6980993315418071,0.6980993315418071,positive
Factor1,7,AIF1,0.6940640165219629,0.6940640165219629,positive
Factor1,8,CSTA,0.6881420268362747,0.6881420268362747,positive
Factor1,9,CYBB,0.685118496876319,0.685118496876319,positive
Factor1,10,TYMP,0.6842507290202259,0.6842507290202259,positive
Factor1,11,LST1,0.6814168469703581,0.6814168469703581,positive
Factor1,12,NCF2,0.6810887508566521,0.6810887508566521,positive
Factor1,13,CD68,0.6799868795048943,0.6799868795048943,positive
Factor1,14,MPEG1,0.6751483917759824,0.6751483917759824,positive
Factor1,15,GRN,0.671814754095328,0.671814754095328,positive
Factor1,16,CFD,0.6663536698899519,0.6663536698899519,positive
Factor1,17,VCAN,0.661077849992145,0.661077849992145,positive
Factor1,18,CLEC7A,0.6606738961858675,0.6606738961858675,positive
Factor1,19,SPI1,0.6594008158536405,0.6594008158536405,positive
Factor1,20,MS4A6A,0.656271924292552,0.656271924292552,positive
Factor2,1,PF4,0.7893477792458331,0.7893477792458331,positive
Factor2,2,TUBB1,0.7864759041090058,0.7864759041090058,positive
Factor2,3,CAVIN2,0.784756862252388,0.784756862252388,positive
Factor2,4,GNG11,0.7794061389897257,0.7794061389897257,positive
Factor2,5,PPBP,0.7703069105434049,0.7703069105434049,positive
Factor2,6,CLU,0.7575661021147173,0.7575661021147173,positive
Factor2,7,GP9,0.756119673315309,0.756119673315309,positive
Factor2,8,ITGA2B,0.7388735460389678,0.7388735460389678,positive
Factor2,9,TREML1,0.7332569511551591,0.7332569511551591,positive
Factor2,10,CMTM5,0.7258948668924972,0.7258948668924972,positive
Factor2,11,SPARC,0.7209689106437405,0.7209689106437405,positive
Factor2,12,PRKAR2B,0.7014026198340659,0.7014026198340659,positive
