index_left,label_left,index_right,label_right
0.0,1.0,0,2
1.0,2.0,1,1
2.0,2.0,2,2
3.0,0.0,3,1
4.0,0.0,4,1
5.0,2.0,5,1
6.0,2.0,6,2
7.0,2.0,7,1
8.0,0.0,8,2
9.0,1.0,9,2
10.0,1.0,10,2
11.0,2.0,11,2
12.0,1.0,12,1
13.0,0.0,13,1
14.0,1.0,14,2
15.0,2.0,15,2
16.0,1.0,16,2
17.0,1.0,17,2
18.0,1.0,18,2
19.0,2.0,19,2
20.0,1.0,20,2
21.0,1.0,21,1
22.0,2.0,22,2
23.0,1.0,23,2
24.0,1.0,24,2
25.0,0.0,25,0
26.0,1.0,26,0
27.0,1.0,27,0
28.0,1.0,28,2
29.0,2.0,29,2
30.0,1.0,30,0
31.0,1.0,31,2
32.0,0.0,32,2
33.0,1.0,33,1
34.0,1.0,34,2
35.0,1.0,35,2
36.0,1.0,36,2
37.0,1.0,37,2
38.0,2.0,38,2
39.0,1.0,39,2
40.0,1.0,40,1
41.0,2.0,41,1
42.0,1.0,42,1
43.0,1.0,43,0
44.0,0.0,44,2
45.0,1.0,45,1
46.0,0.0,46,0
47.0,1.0,47,1
48.0,1.0,48,2
49.0,1.0,49,2
50.0,2.0,50,2
51.0,2.0,51,2
52.0,1.0,52,1
53.0,0.0,53,2
54.0,0.0,54,2
55.0,1.0,55,1
56.0,0.0,56,2
57.0,2.0,57,2
58.0,1.0,58,0
59.0,1.0,59,1
60.0,1.0,60,2
61.0,2.0,61,1
62.0,2.0,62,1
63.0,1.0,63,2
64.0,1.0,64,2
65.0,1.0,65,2
66.0,2.0,66,1
67.0,2.0,67,2
68.0,1.0,68,2
69.0,1.0,69,2
70.0,0.0,70,2
71.0,2.0,71,0
72.0,1.0,72,2
73.0,2.0,73,2
74.0,1.0,74,2
75.0,1.0,75,2
76.0,1.0,76,2
77.0,0.0,77,1
78.0,1.0,78,2
79.0,0.0,79,1
80.0,2.0,80,1
81.0,1.0,81,2
82.0,0.0,82,2
83.0,2.0,83,1
84.0,1.0,84,2
85.0,2.0,85,2
86.0,2.0,86,2
87.0,2.0,87,2
88.0,1.0,88,2
89.0,1.0,89,2
90.0,1.0,90,2
91.0,1.0,91,1
92.0,1.0,92,1
93.0,1.0,93,1
94.0,1.0,94,2
95.0,0.0,95,2
96.0,2.0,96,1
97.0,2.0,97,2
98.0,1.0,98,2
99.0,2.0,99,1
100.0,2.0,100,2
101.0,1.0,101,1
102.0,2.0,102,2
103.0,2.0,103,1
104.0,1.0,104,2
105.0,1.0,105,1
106.0,1.0,106,2
107.0,2.0,107,2
108.0,1.0,108,1
109.0,1.0,109,2
110.0,2.0,110,2
111.0,1.0,111,0
112.0,1.0,112,0
113.0,2.0,113,2
114.0,0.0,114,1
115.0,2.0,115,2
116.0,0.0,116,1
117.0,1.0,117,2
118.0,0.0,118,0
119.0,2.0,119,2
120.0,0.0,120,2
121.0,1.0,121,1
122.0,1.0,122,2
123.0,2.0,123,2
124.0,1.0,124,2
125.0,2.0,125,2
126.0,2.0,126,0
127.0,1.0,127,2
128.0,1.0,128,2
129.0,2.0,129,0
130.0,2.0,130,1
131.0,2.0,131,2
132.0,1.0,132,2
133.0,1.0,133,0
134.0,1.0,134,0
135.0,2.0,135,0
136.0,1.0,136,1
137.0,0.0,137,2
138.0,0.0,138,2
139.0,2.0,139,2
140.0,1.0,140,2
