component,i,j,value
0,0,0,0.4664491056313366
0,0,1,0.2657214279138853
0,0,2,0.47456005040349925
0,0,3,0.3653474234292851
0,0,4,-0.006937887946037455
0,0,5,0.14854657519763043
0,0,6,0.19332075295316048
0,0,7,0.28244503886939937
0,0,8,-0.16644029398696514
0,0,9,-0.5572540604884862
0,0,10,0.03834746682276985
0,0,11,-0.15189977000445137
0,0,12,0.09712726571022856
0,0,13,0.10065976418358424
0,0,14,-0.17388961217715104
0,0,15,-0.12266798501728166
0,0,16,-0.2191729674063807
0,0,17,-0.06703645814042097
0,0,18,-0.03768368806690674
0,0,19,-0.49571122893904396
0,0,20,0.38840621657764945
0,0,21,0.21598284100734463
0,0,22,0.4223744524112228
0,0,23,0.2879013149397859
0,0,24,-0.038096821004507085
0,0,25,0.20128564994569895
0,0,26,0.19443526978118655
0,0,27,0.2501026382732777
0,0,28,0.052585462348157024
0,0,29,-0.2397112728882307
0,0,30,-0.36196113522273987
0,0,31,0.36196113522273987
0,1,0,0.2657214279138853
0,1,1,0.9827318513572311
0,1,2,0.2642083718325902
0,1,3,0.22085647673230846
0,1,4,-0.2449640858350967
0,1,5,-0.03532394955346712
0,1,6,0.0611232171983885
0,1,7,0.09545402992249574
0,1,8,-0.06858058935681692
0,1,9,-0.5068317408367393
0,1,10,-0.0758982175349779
0,1,11,0.07220064157529002
0,1,12,-0.04303271931972595
0,1,13,0.01866030686433289
0,1,14,-0.09413241225971986
0,1,15,-0.13746945313648046
0,1,16,-0.30318431156606546
0,1,17,-0.2815846652863715
0,1,18,-0.18046143684792232
0,1,19,-0.5956211652907717
0,1,20,0.27187960486868534
0,1,21,1.012710550527033
0,1,22,0.28896312571258026
0,1,23,0.213275543669419
0,1,24,0.2563739794038952
0,1,25,0.32580014927009293
0,1,26,0.19976232934352608
0,1,27,0.2165061157753901
0,1,28,0.2562825994136057
0,1,29,0.015746001963175164
0,1,30,-0.5237666718781055
0,1,31,0.5237666718781055
0,2,0,0.47456005040349925
0,2,1,0.2642083718325902
0,2,2,0.4859491757868704
0,2,3,0.37222003465884385
0,2,4,0.02232678600808826
0,2,5,0.19211789810530663
0,2,6,0.23117366553872254
0,2,7,0.3102731519152438
0,2,8,-0.14159957215131677
0,2,9,-0.5253317748440464
0,2,10,0.03897829475441571
0,2,11,-0.16736357770087726
0,2,12,0.10223598572064106
0,2,13,0.10090789686638922
0,2,14,-0.19331741257104706
0,2,15,-0.11890684018429476
0,2,16,-0.2138314204288631
0,2,17,-0.06765342677491847
0,2,18,-0.027428819906824786
0,2,19,-0.496896398265052
0,2,20,0.39635729428914107
0,2,21,0.2134055959415519
0,2,22,0.4338412489523775
0,2,23,0.2939794614477276
0,2,24,-0.013878874919142232
0,2,25,0.23606640620608405
0,2,26,0.22962732968686103
0,2,27,0.2766751296599497
0,2,28,0.07699565771182829
0,2,29,-0.21205041814033343
0,2,30,-0.3834549005754389
0,2,31,0.3834549005754389
0,3,0,0.3653474234292851
0,3,1,0.22085647673230852
0,3,2,0.37222003465884385
0,3,3,0.290098376902497
0,3,4,-0.009688313373262317
0,3,5,0.11350084986888821
0,3,6,0.16390269426781043
0,3,7,0.22086628691226287
0,3,8,-0.1359974741401145
0,3,9,-0.42893176991838566
0,3,10,0.03561153790903374
0,3,11,-0.11317566597642068
0,3,12,0.07690730231338304
0,3,13,0.08174700056033524
0,3,14,-0.08852437103799449
0,3,15,-0.08677851275574099
0,3,16,-0.14004962509194846
0,3,17,-0.039656365244033875
0,3,18,-0.04174564555499736
0,3,19,-0.3558808720572195
0,3,20,0.30286632066034613
0,3,21,0.17203353621354317
0,3,22,0.32890851736578275
0,3,23,0.22773557503735853
0,3,24,-0.029156845989893522
0,3,25,0.13766193313921307
0,3,26,0.15160945803457557
0,3,27,0.18112693850378034
0,3,28,0.013375511330569908
0,3,29,-0.197158715712975
0,3,30,-0.28249933089516654
0,3,31,0.28249933089516654
0,4,0,-0.00693788794603745
0,4,1,-0.2449640858350967
0,4,2,0.022326786008088254
0,4,3,-0.009688313373262317
0,4,4,1.6272869638242677
0,4,5,0.7274024569265692
0,4,6,0.28339615776277033
0,4,7,0.49650674752711293
0,4,8,0.6366491562080803
0,4,9,0.8153752086711822
0,4,10,0.08524633732458683
0,4,11,-0.2280755442291822
0,4,12,-0.03742863635973586
0,4,13,0.02514156168526908
0,4,14,0.07033560364226447
0,4,15,-0.3942079669057125
0,4,16,-0.47328387839816466
0,4,17,-0.12413282066383469
0,4,18,0.30589251294820635
0,4,19,-0.26379462848530416
0,4,20,0.07930872579892342
0,4,21,-0.06934979134235458
0,4,22,0.06005187362579213
0,4,23,0.04823189103774988
0,4,24,1.3608296201386654
0,4,25,0.4776630111086109
0,4,26,0.20947386225993203
0,4,27,0.45162950254984435
0,4,28,0.7851565888294791
0,4,29,0.6626278650483182
0,4,30,-0.5864274631661529
0,4,31,0.5864274631661529
0,5,0,0.14854657519763043
0,5,1,-0.03532394955346712
0,5,2,0.19211789810530663
0,5,3,0.1135008498688882
0,5,4,0.7274024569265692
0,5,5,0.8355458150613271
0,5,6,0.569461494030157
0,5,7,0.48939191871138527
0,5,8,0.5294567695268045
0,5,9,0.6308680267375626
0,5,10,0.03519830802139941
0,5,11,-0.18129164362174705
0,5,12,0.05612001984484706
0,5,13,0.022803697553828366
0,5,14,-0.18638696029285717
0,5,15,0.1726747524756749
0,5,16,0.03305037259431941
0,5,17,-0.0013922030720457418
0,5,18,0.44830033754729925
0,5,19,-0.04832411453195173
