index,p_component_0,p_component_1,p_component_2
0,0.0,1.0,0.0
1,0.0,3.3239540553629126e-207,1.0
2,0.0,5.9087947910205736e-61,1.0
3,1.0,1.4617150176690662e-42,0.0
4,1.0,7.172487489966523e-35,0.0
5,0.0,0.0,1.0
6,0.0,0.0,1.0
7,0.0,1.1637670397678516e-46,1.0
8,1.0,6.529073675158765e-108,0.0
9,0.0,1.0,0.0
10,0.0,1.0,0.0
11,0.0,2.2827012381361743e-56,1.0
12,0.0,1.0,0.0
13,1.0,9.153740990109307e-105,6.453667824346339e-105
14,0.0,1.0,0.0
15,0.0,0.0,1.0
16,0.0,1.0,0.0
17,0.0,1.0,0.0
18,0.0,1.0,0.0
19,0.0,1.0567548092159688e-221,1.0
20,0.0,1.0,5.51209440838743e-20
21,0.0,1.0,0.0
22,0.0,0.0,1.0
23,0.0,1.0,0.0
24,0.0,1.0,0.0
25,1.0,1.9485373053014506e-93,0.0
26,0.0,1.0,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.0,3.125e-320,1.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,1.0,2.923428401935537e-25,0.0
33,0.0,1.0,0.0
34,0.0,1.0,0.0
35,0.0,1.0,0.0
36,0.0,0.9999989600171365,1.0399828629713688e-06
37,0.0,1.0,0.0
38,0.0,3.790738794171346e-84,1.0
39,0.0,1.0,0.0
40,0.0,1.0,0.0
41,0.0,6.226819180393735e-27,1.0
42,0.0,1.0,0.0
43,0.0,1.0,0.0
44,1.0,1.1897654681391709e-73,0.0
45,0.0,1.0,0.0
46,1.0,8.300016483127436e-29,0.0
47,0.0,1.0,0.0
48,0.0,1.0,0.0
49,0.0,1.0,0.0
50,0.0,3.489406302572771e-61,1.0
51,0.0,1.8499074936776656e-293,1.0
52,0.0,1.0,0.0
53,1.0,3.146617368598617e-130,0.0
54,1.0,1.9547083980324804e-61,0.0
55,0.0,1.0,0.0
56,1.0,5.495166327059333e-76,0.0
57,0.0,0.0,1.0
58,0.0,1.0,1.0128140281414447e-42
59,0.0,1.0,0.0
60,0.0,1.0,0.0
61,0.0,4.796404836824881e-267,1.0
62,0.0,0.0,1.0
63,0.0,1.0,0.0
64,0.0,1.0,0.0
65,0.0,1.0,0.0
66,0.0,8.698308901101359e-132,1.0
67,0.0,0.0,1.0
68,0.0,1.0,0.0
69,0.0,1.0,0.0
70,1.0,1.35046959393555e-76,8.053563348060776e-35
71,0.0,1.8018429698566005e-106,1.0
72,0.0,1.0,0.0
73,0.0,4.339107505388749e-37,1.0
74,0.0,1.0,0.0
75,0.0,1.0,0.0
76,0.0,1.0,0.0
77,1.0,1.793145110228528e-32,4.010439298984119e-31
78,0.0,1.0,0.0
79,1.0,4.116263161516757e-19,0.0
80,0.0,3.91252491578898e-40,1.0
81,0.0,1.0,0.0
82,1.0,2.122441270087452e-50,1.7133719861131907e-31
83,0.0,0.0,1.0
84,0.0,0.9999996769559114,3.230440877289532e-07
85,0.0,8.129866596302254e-151,1.0
86,0.0,7.850493031640107e-282,1.0
87,0.0,3.240220458288926e-250,1.0
88,0.0,1.0,0.0
89,0.0,1.0,0.0
90,0.0,1.0,0.0
91,0.0,1.0,0.0
92,0.0,1.0,0.0
93,0.0,1.0,0.0
94,0.0,1.0,0.0
95,1.0,8.950148129167876e-23,0.0
96,0.0,3.8004455019018195e-208,1.0
97,0.0,1.0940988139607596e-160,1.0
98,0.0,1.0,0.0
99,0.0,2.5149041451888304e-40,1.0
100,0.0,3.122893600024884e-71,1.0
101,0.0,1.0,0.0
102,0.0,0.0,1.0
103,0.0,3.6700127751594335e-52,1.0
104,0.0,1.0,0.0
105,0.0,1.0,0.0
106,0.0,1.0,0.0
107,0.0,0.0,1.0
108,0.0,1.0,0.0
109,0.0,1.0,0.0
110,0.0,6.679809962822746e-94,1.0
111,0.0,1.0,0.0
112,0.0,1.0,0.0
113,0.0,0.0,1.0
114,1.0,0.0,0.0
115,0.0,0.0,1.0
116,1.0,5.599293254584535e-55,0.0
117,0.0,1.0,0.0
118,1.0,2.314212175566088e-55,0.0
119,0.0,2.609410907127594e-66,1.0
120,1.0,0.0,0.0
121,0.0,1.0,0.0
122,0.0,1.0,0.0
123,0.0,3.702597724462576e-36,1.0
124,0.0,1.0,0.0
125,0.0,4.0451027516710574e-191,1.0
126,0.0,6.777003925922599e-86,1.0
127,0.0,1.0,0.0
128,0.0,1.0,0.0
129,0.0,7.351944312788661e-252,1.0
130,0.0,0.0,1.0
131,0.0,5.204404741279755e-89,1.0
132,0.0,1.0,0.0
133,0.0,1.0,0.0
134,0.0,1.0,0.0
135,0.0,4.0559313145015704e-81,1.0
136,0.0,1.0,0.0
137,1.0,1.5253170211089535e-22,0.0
138,1.0,7.12538013233265e-39,0.0
139,0.0,5.3990961030466364e-70,1.0
140,0.0,1.0,0.0
141,0.0,0.0,1.0
142,0.0,1.0,0.0
